codistat,codprov_istat,segm3,km,casmez,year,index_stateint
36046,36,3,-254.7410228799589,0,2013,31.7061783708632
36046,36,3,-254.7410228799589,0,2018,61.2822105884552
37001,37,3,-249.0024622199977,0,1994,38.42838171869516
37001,37,3,-249.0024622199977,0,1996,39.90315902233124
37001,37,3,-249.0024622199977,0,2001,52.09430143237114
37001,37,3,-249.0024622199977,0,2006,71.32157355546951
37001,37,3,-249.0024622199977,0,2008,72.08642101287842
37001,37,3,-249.0024622199977,0,2013,28.03520018979907
37001,37,3,-249.0024622199977,0,2018,61.86686643958092
37002,37,3,-248.1245369951613,0,1994,37.09682955592871
37002,37,3,-248.1245369951613,0,1996,38.7075669169426
37002,37,3,-248.1245369951613,0,2001,49.9184302687645
37002,37,3,-248.1245369951613,0,2006,68.47810125350952
37002,37,3,-248.1245369951613,0,2008,72.7742326259613
37002,37,3,-248.1245369951613,0,2013,31.71680545806885
37002,37,3,-248.1245369951613,0,2018,60.70392712950706
37003,37,3,-238.8920872030905,0,1994,33.90584900230169
37003,37,3,-238.8920872030905,0,1996,35.98118686676025
37003,37,3,-238.8920872030905,0,2001,44.19677722454071
37003,37,3,-238.8920872030905,0,2006,61.13821041584015
37003,37,3,-238.8920872030905,0,2008,71.99404048919678
37003,37,3,-238.8920872030905,0,2013,32.3046892657876
37003,37,3,-238.8920872030905,0,2018,60.1883624792099
37005,37,3,-243.6132278200608,0,1994,37.20148906856775
